角色名,PL名,角色简介
僵灵（尹畈·守夜）,,有自我意识的高阶僵尸，长相甜美可爱，天然呆喜欢吃东西。初代魔勇四人组之一。
巫祖（弗恩·绿林）,,魔界军师，睿智的科学家，也是巫妖。生活作风严肃，但研究态度热忱。初代魔勇四人组之一。
骨剑（卡姆西斯）,,自称“魔界第一护卫”的骷髅剑士，生前是位将军。言谈举止古怪，特立独行。初代魔勇四人组之一。
幽龙（莱克斯）,,存在感稀薄的幽灵刺客，担任吐槽役。擅长隐身、侦察。初代魔勇四人组之一。
木津根沙华,,橙色头发的狐天狗女孩，魔法学院学生会长。知性稳重，爱读书。与網津元清是一对恋人。
艾菲,,魔王艾萨与堕天使菲儿莉丝的唯一子嗣，蛮横的魔族公主。为征服人界出走，自称大魔王驰骋四方。
卡罗琳娜,,现任第一魔族居民区市的市长，吸血鬼。外表温柔成熟，有些小腹黑。人称“凯丽姐”或“市长姐姐”。
斋藤常,,魔法学院学生，沉静的鸦天狗女孩，曾为剑道部部长。与弓道部部长泽木秀定是恋爱关系。
網津元清,,源流报社社长，鸦天狗世家網津氏子弟。自立门户已有多年，武艺非凡。深爱木津根沙华。
泽木秀定,,脾气暴躁的鸦天狗，魔法学院学生，弓道部部长。与斋藤常是一对恋人。
格拉修斯,,原王国禁卫军统领，现黎云组织重要人物，昵称“大块头”，用两面巨盾战斗。为人和善。黎云得到魔法学院控制权后一直驻扎魔法学院。
莉德·涅沃尔,,意外成为血族的人类少女，魔法学院学生。学生会副会长卡珊娜的随从。沉默寡言，身手迅捷，手段狠辣。
帕吉尔,,备受期待的圣骑士团成员，阿尔西斯的挚友。本不想成为骑士，但他的团长父亲对他寄予厚望。
源流恒辉,,狐天狗大叔，源流报社成员。为取材去往库姆利，因为见证了重大事件被关押。網津元清的挚友。
哈苏利马、哈苏卡马,,来自北方的异族人兄妹，信仰哈苏玛神。曾经主导灭世者军团对魔法学院的入侵。被学生们合力击杀。
阿尔西斯,,身负“战神”之名的人类少年。幼年家人接连去世，但他没有放弃，凭借兄长卡姆西斯教导的剑法和自己的天赋杀出一条血路。人类王国的英雄。
西露达,,绿发小女孩，魔法学院学生。携带着数量庞大的法杖，性格怯懦软萌。
骨灰,,守护穿界门的高级骷髅，经常靠着门睡觉。实际上是个高级特工，不过他自己把那段记忆删掉了。
萨比,,“血族大师”，元祖德拉库之子。魔王艾萨的重臣。
卡珊娜·苏尔,,魔法的全才，天才精灵少女。在灭世者军团把握大权后将其改名“黎云”，现魔法学院学生会副会长，现代符文法术创始人。
木津根由代,,黑发狐天狗，昵称小狐狸，魔法学院学生。幼年被诱拐的经历使其精神受损，身体发育停滞。木津根沙华是她的表姐。
特维斯·鹰眼,,有社交恐惧症的精灵少女，症状十分严重。亲眼见到父母杀害自己的童年玩伴后主动前往魔法学院学习。偶遇巨兽猎手组织后去尽头山脉猎龙作为实习。
艾米丽·布莱特,,奇招频出，古灵精怪的人类少女，魔法学院学生。在寻找自己的哥哥。
飒菈,,富有学习精神和实验热情的人类少女，魔法学院学生。沉迷学习无法自拔，每日攀登图书馆塔。
村纱岚,,大方直爽的鲸天狗女孩，魔法学院学生，村纱氏的巫女。平易近人，喜欢下河捉鱼。
安缇·法泽尔,,神出鬼没的雇佣兵，金发碧眼大姐姐，杀人不眨眼。独来独往，过往已不可考。
